,Formulas
25052,Ca6 U2 O12
25053,Li6 Co10 O20
25054,Mn4 Cd16 O20
25055,Mn4 Cd16 O20
25056,Na8 Pb2 O8
25057,Fe2 P10 O30
25058,Fe2 P10 O30
25059,Rb4 Pb8 O14
25060,Ca2 Bi4 O12
25061,C16 N36 O12
25062,Cd8 As4 O8
25063,Y2 N6 O28
25064,Y2 N6 O28
25065,Pr2 Cl2 O4
25066,Pr2 Cl2 O4
25067,Ba4 Ti24 O44
25068,Si6 Bi4 O18
25069,K3 Nb1 O8
25070,Li8 Se4 O28
25071,Ba3 Ti3 O8
25072,Rb8 Cr4 O16
25073,Nd4 Ir4 O14
25074,Sr3 Ti2 O7
25075,Lu4 Ru4 O14
25076,Mg9 As6 O24
25077,Mg6 As4 O16
25078,Mg12 As8 O32
25079,Mg12 As8 O32
25080,Mg6 As4 O16
25081,Mg9 As6 O24
25082,Cr8 Ge12 O48
25083,Ni4 O16 F8
25084,Se2 N3 O8
25085,Se4 N6 O16
25086,Na11 N7 O16
25087,Na11 N7 O16
25088,K4 Mg4 O6
25089,K8 Mg8 O12
25090,Lu2 Br2 O1
25091,La3 Os2 O10
25092,Fe10 P6 O26
25093,Fe10 P6 O26
25094,Dy2 Cl6 O12
25095,Dy2 Cl6 O12
25096,Na16 Co8 O20
25097,Na32 Co16 O40
25098,S4 N2 O18
25099,S4 N2 O18
25100,Li11 Ni12 O24
25101,Sr8 Sn4 O16
25102,Sr4 Sn2 O8
25103,Sr8 Sn4 O16
25104,Sr2 Sn1 O4
25105,In2 Au2 O4
25106,Ni4 P6 O22
25107,Lu3 N21 O45
25108,Pr14 I6 O36
25109,La5 Cu5 O13
25110,Sr6 La8 O18
25111,Sr6 La8 O18
25112,Sr6 La8 O18
25113,Sr3 La4 O9
25114,Ce2 Nb2 O8
25115,Ce2 Nb2 O8
25116,Na2 Sn1 O6
25117,Na2 Sn1 O6
25118,Dy16 Mo16 O44
25119,Ti6 Fe18 O32
25120,Ti6 Fe18 O32
25121,Ti6 Fe18 O32
25122,Tl6 P2 O8
25123,Ba4 B4 O10
25124,Ba8 B8 O20
25125,Ba8 B8 O20
25126,Ba8 B8 O20
25127,Rb12 Ni4 O8
25128,Rb6 Ni2 O4
25129,W4 N2 O12
25130,Na4 Ga4 O8
25131,Na16 Ga16 O32
25132,Sr3 Mn2 O7
25133,Ca2 B16 O30
25134,Ta4 B8 O8
25135,Eu1 Pt1 O3
25136,Au4 Se4 O14
25137,Nb14 Ag1 O36
25138,Sr4 Tc4 O12
25139,Sr2 Tc2 O6
25140,Sr1 Tc1 O3
25141,Mo6 P6 O32
25142,V2 Mo1 O8
25143,V2 Mo1 O8
25144,V2 Mo1 O8
25145,Cd4 P12 O34
25146,Ca4 Bi6 O13
25147,Ca8 Bi12 O26
25148,Ag4 Te8 O22
25149,Li3 Ti6 O13
25150,Fe4 C18 O18
25151,Na5 Ti12 O24
25152,Nd5 Cu5 O13
25153,Nd5 Cu5 O13
25154,K4 C4 O8
25155,Th8 V16 O56
25156,Th8 V16 O56
25157,Pr1 Y1 O2
25158,Li14 W7 O32
25159,La8 B12 O30
25160,Yb1 Eu1 O3
25161,V4 Si4 O12
25162,Eu8 Se16 O64
25163,Mn2 Fe4 O6
25164,Mn1 Fe2 O3
25165,Cr4 Ag4 O14
25166,Cr4 Ag4 O14
25167,La6 Ta2 O14
25168,La3 Ta1 O7
25169,Fe6 C14 O38
25170,Ca1 Nb4 O14
25171,Er2 H6 O6
25172,Eu8 Y8 O20
25173,Y12 Si12 O44
25174,Mg1 Cr2 O6
25175,Mg1 Cr2 O6
25176,Mg1 Cr2 O6
25177,Mg2 Cr4 O12
25178,Mg2 Cl4 O16
25179,Eu4 V4 O12
25180,Eu1 V1 O3
25181,H36 S2 O24
25182,Cs16 Zr4 O16
25183,Li4 Ni8 O12
25184,Li4 Ni8 O12
25185,Li4 Ni8 O12
25186,Bi4 P8 O26
25187,Li4 W4 O14
25188,Li4 W4 O14
25189,Yb4 Mn4 O12
25190,Yb6 Mn6 O18
25191,Li2 Co8 O16
25192,Li2 Co8 O16
25193,Li1 Co4 O8
25194,Li2 Co8 O16
25195,Li2 Co8 O16
25196,Li2 Co8 O16
25197,Li2 Co8 O16
25198,Bi20 P12 O60
25199,U4 C8 O24
25200,V2 Zn3 O11
25201,Sr6 Ga8 O18
25202,Ni2 P2 O10
25203,Ba2 As6 O11
25204,Ba2 As6 O11
25205,Ba4 As12 O22
25206,Mg5 Al34 O56
25207,Sr2 Al24 O38
25208,Sr2 Al24 O38
25209,Bi4 Ir4 O14
25210,Li20 Ti8 O26
25211,Li2 Nb4 O11
25212,Li4 Nb8 O22
25213,Nd6 Os2 O14
25214,Ce1 Th1 O4
25215,Ag2 Sb2 O24
25216,Ag2 Sb2 O24
25217,Cd6 B4 O12
25218,Cd6 B4 O12
25219,Gd4 Fe4 O12
25220,Mg2 W4 O10
25221,Mg2 W4 O10
25222,K4 Ta8 O22
25223,Pr6 Re2 O14
25224,Li4 Pb2 O6
25225,Li8 Pb4 O12
25226,Co4 P16 O44
25227,Co4 P16 O44
25228,Co4 P16 O44
25229,Na28 Al8 O26
25230,Dy4 Pt4 O14
25231,Ni6 As8 O32
25232,Rb1 Fe1 O3
25233,Mg1 Mn5 O8
25234,Mg1 Mn5 O8
25235,Mg1 Mn5 O8
25236,Mg1 Mn5 O8
25237,U1 Cd1 O4
25238,U1 Cd1 O4
25239,Mn4 Nb8 O24
25240,Si24 Bi4 O56
25241,Tl8 B16 O40
25242,H16 Pt2 O12
25243,H16 Pt2 O12
25244,H16 Pt2 O12
25245,H16 Pt2 O12
25246,H16 Pt2 O12
25247,H16 Pt2 O12
25248,Li4 Ni5 O10
25249,Li4 Ni5 O10
25250,Li8 Ni10 O20
25251,Li4 Ni5 O10
25252,Cs4 Mo10 O32
25253,U4 Mo4 O24
25254,H12 N4 O16
25255,H12 N4 O16
25256,H12 N4 O16
25257,H12 N4 O16
25258,La2 Nb6 O18
25259,La2 Nb6 O18
25260,Zr4 Pb4 O20
25261,Ag33 Pb14 O42
25262,Pd4 I8 O24
25263,Mg2 Cr4 O10
25264,Mg2 Cr4 O10
25265,Ta16 Cu9 O48
25266,Fe4 P8 O24
25267,W3 O7 F1
25268,Li2 U2 O6
25269,Li2 U2 O6
25270,Li1 U1 O3
25271,Sr6 Ge2 O10
25272,Sr12 Ge4 O20
25273,Mg8 N16 O48
25274,Mg12 N24 O72
25275,Mg4 N8 O24
25276,P4 W8 O32
25277,Eu1 Si1 O3
25278,Sr4 S4 O16
25279,Sr4 S4 O16
25280,Sr1 S1 O4
25281,Os8 O16 F16
25282,Os2 O4 F4
25283,Os2 O4 F4
25284,He8 Si8 O16
25285,He4 Si4 O8
25286,Tb2 Cl2 O1
25287,Mg2 Ni8 O12
25288,Hg4 W2 O8
25289,Th2 Ta4 O14
25290,Pr2 Cl6 O24
25291,Ba12 Pt9 O27
25292,Ba12 Pt9 O27
25293,Bi8 S12 O48
25294,Bi4 S6 O24
25295,Bi4 S6 O24
25296,Bi16 S24 O96
25297,Bi4 S6 O24
25298,Bi4 S6 O24
25299,Li1 W1 O2
25300,Eu2 S1 O2
25301,Sb8 I4 O10
25302,Pr24 Se36 O108
25303,Ta8 Ag4 O22
25304,Ca2 Mo4 O14
25305,Th2 Te2 O2
25306,Na8 Mn4 O10
25307,Cr16 P24 O84
25308,Ag2 Ru2 O8
25309,Sn2 Mo8 O12
25310,Zr1 U1 O4
25311,Li4 Mn4 O12
25312,Ca6 Ge2 O1
25313,Pr6 Ta2 O14
25314,La4 P20 O56
25315,La4 P20 O56
25316,U8 S16 O64
25317,Dy2 P6 O18
25318,Dy4 P12 O36
25319,Dy12 P36 O108
25320,K8 S20 O64
25321,Cs4 La12 O20
25322,Yb4 Se6 O40
25323,Ag8 Hg4 O8
25324,Eu4 Rh4 O12
25325,Sr4 B22 O44
25326,U1 Si1 O3
25327,Ba1 Ca3 O4
25328,Y8 S8 O4
25329,Ta6 Bi14 O36
25330,Ta6 Bi14 O36
25331,Sr8 V8 O28
25332,Sr16 V16 O56
25333,Mn4 P10 O30
25334,Mg2 Fe4 O6
25335,Mg2 Fe4 O6
25336,Mg2 Fe4 O6
25337,Fe4 Mo6 O16
25338,Ti2 P4 O16
25339,Ti2 P4 O16
25340,Mg2 Cr8 O18
25341,Ba2 Cr7 O14
25342,Fe15 Ge8 O36
25343,Pd2 Pb2 O4
25344,Ca4 Cl8 O24
25345,Ca2 Cl4 O12
25346,Ca2 Cl4 O12
25347,Li5 Co2 O6
25348,Li10 Co4 O12
25349,Ba5 Co5 O14
25350,Zr2 Br2 O2
25351,K8 Te16 O36
25352,Sm14 Br6 O36
25353,Th8 P16 O72
25354,P3 Pb2 O10
25355,Zn6 Se6 O20
25356,Ag8 B32 O52
25357,Ag8 B32 O52
25358,Ag8 B32 O52
25359,Ag8 B32 O52
25360,Li2 Nb20 O36
25361,Zn1 B1 O3
25362,Nd8 Ti4 O20
25363,Mo20 Pb4 O32
25364,Tm4 Nb4 O14
25365,Yb2 B6 O12
25366,Zr1 Ni4 O1
25367,Sr2 Bi4 O8
25368,Ca2 Ni4 O10
25369,Ca2 Ni4 O10
25370,Zr2 Ti4 O2
25371,Zr1 Ti2 O1
25372,Zr2 Ti4 O2
25373,P8 H32 O32
25374,Te2 Mo10 O32
25375,Te4 Mo20 O64
25376,V4 S4 O32
25377,V4 S4 O32
25378,Ba2 Fe3 O7
25379,Li32 Mn8 O28
25380,P8 Pb16 O36
25381,Dy4 Tc4 O14
25382,K4 Cl4 O16
25383,K1 Cl1 O4
25384,Ga2 Fe4 O8
25385,Ti4 Zn4 O10
25386,K6 S6 O18
25387,K6 S6 O18
25388,Zr1 Os1 O3
25389,Ce9 Gd1 O20
25390,Er8 B12 O30
25391,Sc4 Br8 O28
25392,K18 U12 O45
25393,Cs2 V5 O13
25394,Lu8 P16 O52
25395,Lu8 P16 O52
25396,Lu4 P8 O26
25397,Na1 W10 O30
25398,Na2 Hg1 O2
25399,Te4 Pb20 O32
25400,Sr2 Ni2 O4
25401,Na40 Tl8 O32
25402,Na14 Al6 O16
25403,Na14 Al6 O16
25404,Na4 P4 O26
25405,Nd2 N6 O30
25406,Nd2 N6 O30
25407,Nb16 Bi47 O111
25408,Co4 P10 O32
25409,Sm12 B20 O48
25410,Na8 Pr4 O12
25411,Na24 Pr12 O36
25412,Na8 Pr4 O12
25413,Na2 Pr1 O3
25414,Na2 Pr1 O3
25415,Rb2 W6 O18
25416,Rb2 W6 O18
25417,Rb2 W6 O18
25418,Rb2 W6 O18
25419,Rb2 W6 O18
25420,Rb2 W6 O18
25421,Ti8 Co24 O64
25422,Ti2 Co6 O16
25423,Ti2 Co6 O16
25424,Ti2 Co6 O16
25425,Mn1 Au1 O2
25426,Mn1 Au1 O2
25427,Mn2 V2 O7
25428,Mn8 V8 O28
25429,Mn2 V2 O7
25430,Mn2 V2 O7
25431,Cs2 As6 O16
25432,Be1 Zn3 O4
25433,Na1 W3 O9
25434,Sr4 S1 O3
25435,Li3 Cu2 O4
25436,Li3 Cu2 O4
25437,Li3 Cu2 O4
25438,Sr2 Zr7 O16
25439,Sn8 Pb8 O24
25440,Sn1 Pb1 O3
25441,Sn4 Pb4 O12
25442,V6 P12 O40
25443,V6 P12 O40
25444,Ca4 W4 O8
25445,Ca4 W4 O8
25446,Ca4 W4 O8
25447,Ca4 W4 O8
25448,Ca4 W4 O8
25449,Re4 Hg8 O20
25450,K1 Er1 O3
25451,Fe8 Se24 O60
25452,Eu2 O2 F2
25453,Mn3 Ni1 O8
25454,Mn3 Ni1 O8
25455,Mn12 Ni4 O32
25456,Lu4 Pt4 O14
25457,Sr8 B64 O104
25458,Zn4 As8 O16
25459,Si12 Te8 O48
25460,Sr25 Ti39 O103
25461,K16 Zn4 O12
25462,Cr1 W1 O3
25463,Cr8 Hg24 O40
25464,Fe4 B4 O10
25465,Dy16 B48 O96
25466,I6 N2 O18
25467,Tm6 Ta2 O14
25468,Tm12 Ta4 O28
25469,Tm6 Ta2 O14
25470,La2 O2 F2
25471,La2 O2 F2
25472,La1 O1 F1
25473,Rb2 Ag2 O4
25474,Rb1 Ag1 O2
25475,Rb2 Ag2 O4
25476,Pr12 Mo18 O72
25477,Pr4 Mo6 O24
25478,Pr8 Mo12 O48
25479,Pr4 Mo6 O24
25480,Zr4 N8 O36
25481,Zr4 N8 O36
25482,Yb2 Nd2 O4
25483,Ho4 Cr4 O12
25484,Na2 Ni6 O8
25485,Li8 Cr4 O8
25486,Li8 Cr4 O8
25487,Li8 Cr4 O8
25488,Li8 Cr4 O8
25489,Li8 Cr4 O8
25490,Li4 Cr2 O4
25491,Li8 Cr4 O8
25492,Mg24 Mn4 O32
25493,Ba2 Sb8 O14
25494,Cs2 Y2 O4
25495,Si4 Ag8 O12
25496,La16 Mo28 O108
25497,Ca4 V4 O14
25498,Na1 Be1 O3
25499,Li12 B32 O60
25500,Cs2 In2 O4
25501,Be1 In1 O3
25502,Pr8 W8 O36
25503,Al4 W4 O14
25504,Al4 W4 O14
25505,Ca2 B4 O16
25506,Ca4 B8 O32
25507,Ca6 Te2 O12
25508,Cs4 Tb2 O6
25509,Ti4 P4 O22
25510,Mn1 Te1 O4
25511,Cr4 O8 F8
25512,Li8 Co2 O6
25513,Yb14 Ti10 O41
25514,Cu24 P8 O56
25515,Na8 Co2 O6
25516,Gd2 Ta2 O8
25517,Gd2 Ta2 O8
25518,Sr72 Al48 O144
25519,Tl8 N8 O24
25520,Tl8 N8 O24
25521,Tl9 N9 O27
25522,Ag4 Cl4 O12
25523,Ag4 Cl4 O12
25524,Ag1 Cl1 O3
25525,Ag4 Cl4 O12
25526,La16 Mn4 O32
25527,La16 Mn4 O32
25528,Ag20 Bi4 O16
25529,Zn2 Fe8 O18
25530,Zn2 Fe8 O18
25531,Sr14 Nb19 O57
25532,Yb12 Fe20 O48
25533,Mn32 Bi32 O90
25534,Ca10 Si4 O20
25535,Na4 Be4 O8
25536,Cs12 Cu20 O16
25537,K3 Fe22 O34
25538,K3 Fe22 O34
25539,Na12 Zn2 O8
25540,P8 Pb4 O36
25541,Ti4 Cu3 O12
25542,Ga4 Te6 O18
25543,Mg2 V6 O16
25544,Mg4 V12 O32
25545,Mg4 V12 O32
25546,Hg9 S3 O18
25547,Hg9 S3 O18
25548,La1 Ni1 O2
25549,Pb2 Se4 O12
25550,Pb4 Se8 O24
25551,Cu4 P12 O36
25552,Cu4 P12 O36
25553,Cu4 P12 O36
25554,Ga16 Ni8 O32
25555,Ga8 Ni4 O16
25556,Ga8 Ni4 O16
25557,Ga4 Ni2 O8
25558,Ga4 Ni2 O8
25559,Yb2 Sc2 O4
25560,Ca2 Ti1 O4
25561,Li5 Mn1 O5
25562,Li5 Mn1 O5
25563,Ni5 Te2 O12
25564,Ag8 S4 O8
25565,Mg16 Al12 O1
25566,Mg16 Al12 O1
25567,Hg4 S8 O28
25568,Sr4 Cr3 O10
25569,Be4 P4 O14
25570,Be12 P12 O42
25571,Be16 P16 O56
25572,Mg3 Ti1 O4
25573,U2 Si2 O8
25574,Eu4 Fe4 O12
25575,Eu2 Fe2 O6
25576,Eu1 Fe1 O3
25577,Lu8 Zr6 O24
25578,Lu4 Zr3 O12
25579,Dy4 C4 O16
25580,Dy18 C18 O72
25581,Mg2 Co3 O8
25582,Mg4 Co6 O16
25583,Mn13 Fe11 O32
25584,Mn13 Fe11 O32
25585,Mn13 Fe11 O32
25586,Mg3 Si1 O4
25587,Fe2 Ni2 O6
25588,Fe2 Ni2 O6
25589,Cu2 Si1 O4
25590,Pr6 Ga2 O12
25591,V9 P1 O25
25592,La8 Ru4 O20
25593,La8 Ru4 O20
25594,Pr8 Se8 O4
25595,Ti1 V15 O24
25596,Ac2 Br2 O1
25597,Hg4 N4 O20
25598,Ce1 Al8 O16
25599,Ag8 I8 O24
25600,Ag8 I8 O24
25601,Ag4 I4 O12
25602,Nb9 As2 O25
25603,Sr1 Cl2 O6
25604,Sr1 Cl2 O6
25605,Sr2 Cl4 O12
25606,Cu6 O1 F11
25607,Cu6 O1 F11
25608,Cu6 O1 F11
25609,Cu6 O1 F11
25610,Cu6 O1 F11
25611,Cu6 O1 F11
25612,Nb4 H4 O12
25613,Nb4 H4 O12
25614,Nb4 H4 O12
25615,Nb4 H4 O12
25616,Nb4 H4 O12
25617,Na4 Mn4 O8
25618,Na4 Mn4 O8
25619,Na2 Mn2 O4
25620,Na1 Mn1 O2
25621,Na2 Mn2 O4
25622,Na4 Mn4 O8
25623,Na4 Mn4 O8
25624,Na4 Mn4 O8
25625,Na2 Mn2 O4
25626,Na1 Mn1 O2
25627,Na2 Mn2 O4
25628,Sr2 As4 O16
25629,Rb24 Ge12 O36
25630,Sb2 P2 O8
25631,Sb8 P8 O32
25632,Sb4 P4 O16
25633,Nb8 N8 O8
25634,Nb4 N4 O4
25635,Nb4 N4 O4
25636,Nb4 N4 O4
25637,Nb2 N2 O2
25638,Pb4 Cl8 O8
25639,Li6 Ni13 O26
25640,Li10 Bi8 O24
25641,Li6 Cr8 O16
25642,Tm4 Mo8 O30
25643,Sr8 Hf2 O12
25644,Ba13 Nb14 O42
25645,La32 Mo42 O112
25646,La12 Mn6 O28
25647,Cs2 Np1 O4
25648,Er2 S1 O2
25649,Ba4 As8 O36
25650,La5 Mn5 O18
25651,Cd2 Ag2 O4
25652,Cd2 Ag2 O4
25653,Hg1 Ge1 O3
25654,Hg4 S4 O20
25655,Ce5 Y2 O13
25656,Ba1 Nb7 O9
25657,Rb3 Ta1 O8
25658,Sr1 Ag1 O3
25659,Mg4 C8 O24
25660,Mg2 C4 O12
25661,Cr1 Rh1 O3
25662,Hg18 As8 O32
25663,U4 Mo8 O48
25664,U4 Mo8 O48
25665,Rb6 Lu2 O6
25666,Rb12 Lu4 O12
25667,Sr10 W6 O28
25668,Sr20 W12 O56
25669,Na24 Sn8 O28
25670,Na12 Sn4 O14
25671,Na12 Sn4 O14
25672,Cr6 Fe4 O24
25673,Cr12 Fe8 O48
25674,Cr12 Fe8 O48
25675,Np4 I8 O36
25676,Sr6 Sc12 O24
25677,Sr4 Sc8 O16
25678,Sr2 Sc4 O8
25679,Sr2 Sc4 O8
25680,Sm2 Cu1 O4
25681,Sc1 Pa1 O4
25682,Sc2 Pa2 O8
25683,Tm12 Al20 O48
25684,Cr8 Cu8 O32
25685,Cr2 Cu2 O8
25686,Na1 Ag1 O2
25687,H28 C14 O7
25688,H32 C16 O8
25689,Re1 Te1 O3
25690,Nb8 V8 O40
25691,Nb4 V4 O20
25692,Nb2 V2 O10
25693,Nb2 V2 O10
25694,Lu8 V8 O26
25695,Lu4 V4 O13
25696,Na8 As8 O16
25697,Na8 As8 O16
25698,Al12 Fe6 O24
25699,Al4 Fe2 O8
25700,Al28 Fe14 O56
25701,Al8 Fe4 O16
25702,Al24 Fe12 O48
25703,Al12 Fe6 O24
25704,Al16 Fe8 O32
25705,Al16 Fe8 O32
25706,Cr2 Cu2 O4
25707,Cr2 Cu2 O4
25708,Bi4 Pt4 O14
25709,Mg2 V16 O48
25710,Al4 As3 O23
25711,Lu2 S1 O2
25712,Y2 Pd4 O8
25713,Cr10 Fe5 O24
25714,Re12 Cl40 O32
25715,Co4 Te6 O16
25716,Ti12 Se16 O3
25717,Cd8 Si4 O8
25718,Ce4 Se8 O34
25719,Ba1 Au1 O3
25720,Cu1 Ni9 O10
25721,Au2 N10 O28
25722,Ca12 Co4 O24
25723,Ca12 Co4 O24
25724,Ca6 Co2 O12
25725,Ca12 Co4 O24
25726,Ca12 Co4 O24
25727,Ho4 Mn8 O20
25728,U4 Si2 O20
25729,Ca4 B16 O30
25730,Ca4 B16 O30
25731,Bi7 O5 F11
25732,Zr1 Tl1 O3
25733,V32 Ag64 O112
25734,Cr12 Co8 O48
25735,Cr12 Co8 O48
25736,Fe4 Te6 O24
25737,V1 Cu1 O3
25738,V1 Cu1 O3
25739,V2 Cu2 O6
25740,V4 Cu4 O12
25741,Ca10 V6 O25
25742,Ca10 V6 O25
25743,Cu8 P4 O16
25744,Mg1 Ti11 O20
25745,Mg2 Ti22 O40
25746,U1 Tc1 O3
25747,Ca20 W12 O56
25748,Eu20 B40 O90
25749,Ta6 Bi8 O28
25750,Nd4 Os6 O19
25751,Ba2 Ag4 O4
25752,La8 Cu3 O16
25753,La8 Cu3 O16
25754,La16 Cu6 O32
25755,La8 Cu3 O16
25756,Dy4 V4 O8
25757,Li12 Fe10 O24
25758,Li6 Fe5 O12
25759,Sr4 Nb5 O15
25760,Cd1 Ni1 O2
25761,Sb4 S4 O24
25762,Ag4 W4 O14
25763,K6 Nb16 O42
25764,Ti4 As8 O28
25765,Ti4 As8 O28
25766,Ti2 As4 O14
25767,Al12 P16 O64
25768,Na3 W4 O6
25769,Na3 W4 O6
25770,Sn8 S16 O64
25771,Hg14 P4 O20
25772,Sr4 Ir3 O10
25773,Ag8 Se4 O8
25774,Cu1 B1 O3
25775,Na8 Sn10 O24
25776,Zn3 P2 O12
25777,Zn3 P2 O12
25778,Zn3 P2 O12
25779,Zn12 P8 O48
25780,Zn12 P8 O48
25781,Zn12 P8 O48
25782,Zn12 P8 O48
25783,Zn12 P8 O48
25784,Zn12 P8 O48
25785,Ti6 Fe10 O24
25786,Ti3 Fe5 O12
25787,Ti6 Fe10 O24
25788,Li4 Dy4 O8
25789,Li4 Dy4 O8
25790,Cd16 S16 O72
25791,Ge2 Bi4 O10
25792,Ge4 Bi8 O20
25793,Ta2 Ga2 O8
25794,Ta4 Ga4 O16
25795,Y14 Ho2 O24
25796,Fe1 H2 O2
25797,Fe4 H8 O8
25798,Fe1 H2 O2
25799,La8 Zn4 O16
25800,Li4 Sm4 O8
25801,K1 Au1 O3
25802,Sr12 Si4 O4
25803,Zr4 Si4 O8
25804,Li4 Mo3 O8
25805,Li8 Mo6 O16
25806,Li4 Mo3 O8
25807,Sn3 Cl24 O75
25808,Na2 Sm2 O4
25809,Na1 Sm1 O2
25810,Li4 Re20 O60
25811,Dy2 As2 O8
25812,Sb1 Pb1 O3
25813,Na4 Mn4 O16
25814,Na4 Mn4 O16
25815,Na2 Mn2 O8
25816,Na1 U3 O8
25817,Ca2 Sn8 O18
25818,H4 I12 O32
25819,H4 I12 O32
25820,Y4 Cr6 O24
25821,Y4 Cr6 O24
25822,Cr10 P8 O32
25823,Cr5 P4 O16
25824,Ba4 Mn4 O10
25825,Na24 Mn4 O16
25826,Na24 Mn4 O16
25827,B12 H12 O24
25828,B12 H12 O24
25829,B24 H24 O48
25830,Na2 Nd2 O4
25831,V4 N1 O10
25832,Ba8 In12 O26
25833,Mn2 In4 O8
25834,Sr1 Ni1 O3
25835,Sr4 Ni4 O12
25836,Sr4 Ni4 O12
25837,Sr4 Ni4 O12
25838,Sr4 Ni4 O12
25839,Sr2 Ni2 O6
25840,Li1 C2 O5
25841,La2 I2 O1
25842,Ce2 P6 O18
25843,Ho4 B4 O12
25844,Ho12 B12 O36
25845,Ho2 B2 O6
25846,Ho6 B6 O18
25847,Ho2 B2 O6
25848,Ho1 B1 O3
25849,Ni4 Ge2 O8
25850,Sr1 Ca3 O4
25851,Na11 Mn24 O48
25852,Al4 V2 O14
25853,Er4 Co4 O12
25854,Tl4 W2 O8
25855,Lu4 Co4 O14
25856,Sr10 Mn10 O26
25857,U4 O4 F16
25858,U3 O3 F12
25859,Na8 Si2 O8
25860,Mn8 Fe8 O24
25861,Mn8 Fe8 O24
25862,Sr16 Zr12 O40
25863,Re12 Pb12 O40
25864,Re12 Pb12 O40
25865,Ba3 Sn1 O1
25866,U1 O2 F2
25867,U1 O2 F2
25868,Na4 Sb4 O24
25869,Na4 Sb4 O24
25870,Sm40 S56 O4
25871,La8 Te4 O24
25872,La2 Te1 O6
25873,Si16 Ge16 O48
25874,Ba4 P8 O24
25875,Ba4 P8 O24
25876,Y4 Mo8 O30
25877,Nb12 Ni12 O2
25878,Ba5 In5 O12
25879,K2 Sb2 O4
25880,U1 Re1 O3
25881,Yb2 Zr8 O19
25882,Sr1 As1 O3
25883,K6 Ta11 O30
25884,Zr6 Ni2 O2
25885,Tl6 B2 O6
25886,Li7 Sn4 O12
25887,Tm8 Ge4 O20
25888,Tm4 Ge2 O10
25889,Tm8 Ge4 O20
25890,Tm8 Ge4 O20
25891,Li4 Er4 O8
25892,Li2 Er2 O4
25893,Cu2 Sb4 O12
25894,Cu2 Sb4 O12
25895,Cu2 Sb4 O12
25896,Y4 W4 O18
25897,Y8 W8 O36
25898,Y8 W8 O36
25899,Y8 W8 O36
25900,Mn1 H2 O2
25901,Mn2 H4 O4
25902,Mn4 H8 O8
25903,Mn1 H2 O2
25904,Mn2 H4 O4
25905,Ba1 Dy1 O3
25906,Cd5 N2 O16
25907,Cd5 N2 O16
25908,K9 W20 O60
25909,K9 W20 O60
25910,Ba4 Te2 O2
25911,Na2 W4 O13
25912,Na2 W4 O13
25913,W1 N1 O1
25914,Nb8 Te16 O52
25915,K1 Dy1 O3
25916,Ce2 Te1 O2
25917,Tl1 Tc1 O3
25918,Na24 N8 O32
25919,Fe2 Re6 O30
25920,Eu1 Ru1 O3
25921,Zn4 Cr4 O12
25922,Dy4 Mo6 O24
25923,Dy8 Mo12 O48
25924,Dy4 Mo6 O24
25925,Ga2 Au2 O4
25926,Ho2 I2 O2
25927,Ho2 I2 O2
25928,Fe4 O4 F6
25929,Bi11 P1 O20
25930,Zn4 Cl10 O4
25931,Zn4 Cl10 O4
25932,Cr6 S6 O36
25933,Ge2 Sb2 O5
25934,Cr4 Te2 O12
25935,Ba4 Se8 O20
25936,V16 Cr8 O52
25937,V16 Cr8 O52
25938,Bi2 W2 O8
25939,La8 Ni6 O20
25940,La4 Ni3 O10
25941,Fe3 P2 O16
25942,Fe3 P2 O16
25943,Fe6 P4 O32
25944,Fe3 P2 O16
25945,Fe3 P2 O16
25946,H16 N8 O16
25947,Ag4 Au4 O12
25948,Ag4 Au4 O12
25949,Li4 Nb20 O32
25950,Li8 W4 O48
25951,Li8 W4 O48
25952,Lu2 Cl6 O12
25953,Sr2 I4 O30
25954,Sr2 I4 O30
25955,Cr3 N1 O8
25956,Na8 Ge8 O20
25957,Na8 Ge8 O20
25958,Na16 Ge16 O40
25959,Na8 Ge8 O20
25960,Na8 Ge8 O20
25961,Na8 Ge8 O20
25962,Ta8 Cd4 O24
25963,H2 I2 O8
25964,H4 I4 O16
25965,Zn7 Mo6 O24
25966,B10 N2 O24
25967,Ba10 Ru4 O20
25968,La4 Pr4 O14
25969,Cs4 B36 O52
25970,Er4 Ti4 O12
25971,Sr2 Ti6 O13
25972,Cu4 N16 O24
25973,Ba2 Cr3 O7
25974,Sm8 Ti4 O20
25975,Sm8 Ti4 O20
25976,Li8 Pb1 O6
25977,Y1 Cu1 O2
25978,Y2 Cu2 O4
25979,Ta1 N3 O8
25980,Na12 Mg2 O8
25981,Na12 Mg2 O8
25982,Mn1 Cu1 O2
25983,Sn6 P6 O26
25984,Na2 N4 O4
25985,Sr2 U4 O11
25986,Ba8 H16 O16
25987,Ba8 H16 O16
25988,Ba8 H16 O16
25989,Ba8 H16 O16
25990,Ba8 H16 O16
25991,Ba8 H16 O16
25992,Ba8 H16 O16
25993,Ba8 H16 O16
25994,Ba20 H40 O40
25995,Ba20 H40 O40
25996,Ni5 P4 O16
25997,Ni10 P8 O32
25998,V12 P8 O32
25999,V12 P8 O32
26000,V12 P8 O32
26001,V12 P8 O32
26002,V6 P4 O16
26003,V12 P8 O32
26004,V6 P4 O16
26005,Eu8 Ge4 O20
26006,Sr2 Ru3 O10
26007,Zn2 Ga4 O8
26008,Sb3 O7 F1
26009,Co2 Sb2 O8
26010,Co1 Sb1 O4
