Angles Q Intensities I_err N
5.000472222 1.5009762404403049 0.0 0.0 20.0
5.008972222 1.503521161318683 0.0 0.0 10.0
5.017472222 1.5060660491066526 0.0 0.0 30.0
5.025972222 1.5086109037482036 0.0 0.0 30.0
5.034472222 1.5111557251873282 0.0 0.0 80.0
5.042972222 1.5137005133680177 0.0 0.0 60.0
5.051472222 1.5162452682342653 0.0 0.0 60.0
5.059972222 1.518789989730064 0.0 0.0 40.0
5.068472222 1.5213346777994088 0.0 0.0 60.0
5.076972222 1.5238793323862942 0.0 0.0 30.0
5.085472222 1.526423953434716 0.0 0.0 50.0
5.093972222 1.5289685408886702 0.0 0.0 70.0
5.102472222 1.5315130946921545 0.0 0.0 40.0
5.110972222 1.5340576147891667 0.0 0.0 30.0
5.119472222 1.536602101123705 0.0 0.0 60.0
5.127972222 1.5391465536397697 0.0 0.0 60.0
5.136472222 1.5416909722813599 0.0 0.0 80.0
5.144972222 1.5442353569924772 0.0 0.0 40.0
5.153472222 1.5467797077171235 0.0 0.0 30.0
5.161972222 1.5493240243993 0.0 0.0 40.0
5.170472222 1.5518683069830108 0.0 0.0 60.0
5.178972222 1.5544125554122596 0.0 0.0 60.0
5.187472222 1.556956769631051 0.0 0.0 30.0
5.195972222 1.5595009495833903 0.0 0.0 70.0
5.204472222 1.5620450952132836 0.0 0.0 40.0
5.212972222 1.564589206464738 0.0 0.0 60.0
5.221472222 1.567133283281761 0.0 0.0 20.0
5.229972222 1.5696773256083607 0.0 0.0 30.0
5.238472222 1.572221333388547 0.0 0.0 50.0
5.246972222 1.5747653065663296 0.0 0.0 40.0
5.255472222 1.5773092450857187 0.0 0.0 50.0
5.263972222 1.5798531488907261 0.0 0.0 20.0
5.272472222 1.5823970179253641 0.0 0.0 30.0
5.280972222 1.5849408521336457 0.0 0.0 50.0
5.289472222 1.587484651459584 0.0 0.0 50.0
5.297972222 1.5900284158471947 0.0 0.0 60.0
5.306472222 1.5925721452404922 0.0 0.0 40.0
5.314972222 1.5951158395834926 0.0 0.0 50.0
5.323472222 1.597659498820213 0.0 0.0 90.0
5.331972222 1.600203122894671 0.0 0.0 30.0
5.340472222 1.6027467117508847 0.0 0.0 50.0
5.348972222 1.6052902653328738 0.0 0.0 60.0
5.357472222 1.607833783584658 0.0 0.0 60.0
5.365972222 1.610377266450257 0.0 0.0 60.0
5.374472222 1.6129207138736934 0.0 0.0 60.0
5.382972222 1.61546412579899 0.0 0.0 60.0
5.391472222 1.6180075021701683 0.0 0.0 80.0
5.399972222 1.620550842931253 0.0 0.0 30.0
5.408472222 1.6230941480262688 0.0 0.0 80.0
5.416972222 1.6256374173992405 0.0 0.0 30.0
5.425472222 1.6281806509941947 0.0 0.0 40.0
5.433972222 1.6307238487551587 0.0 0.0 40.0
5.442472222 1.6332670106261598 0.0 0.0 50.0
5.450972222 1.6358101365512263 0.0 0.0 60.0
5.459472222 1.6383532264743879 0.0 0.0 40.0
5.467972222 1.640896280339675 0.0 0.0 40.0
5.476472222 1.6434392980911183 0.0 0.0 30.0
5.484972222 1.6459822796727486 0.0 0.0 70.0
5.493472222 1.6485252250286002 0.0 0.0 50.0
5.501972222 1.651068134102705 0.0 0.0 70.0
5.510472222 1.6536110068390975 0.0 0.0 60.0
5.518972222 1.6561538431818132 0.0 0.0 50.0
5.527472222 1.6586966430748864 0.0 0.0 50.0
5.535972222 1.6612394064623552 0.0 0.0 30.0
5.544472222 1.663782133288256 0.0 0.0 50.0
5.552972222 1.6663248234966275 0.0 0.0 50.0
5.561472222 1.6688674770315075 0.0 0.0 40.0
5.569972222 1.671410093836937 0.0 0.0 140.0
5.578472222 1.673952673856956 0.0 0.0 40.0
5.586972222 1.6764952170356056 0.0 0.0 40.0
5.595472222 1.6790377233169287 0.0 0.0 50.0
5.603972222 1.6815801926449676 0.0 0.0 0.0
5.612472222 1.6841226249637662 0.0 0.0 40.0
5.620972222 1.686665020217369 0.0 0.0 50.0
5.629472222 1.6892073783498225 0.0 0.0 100.0
5.637972222 1.6917496993051715 0.0 0.0 60.0
5.646472222 1.6942919830274634 0.0 0.0 50.0
5.654972222 1.6968342294607466 0.0 0.0 20.0
5.663472222 1.6993764385490695 0.0 0.0 70.0
5.671972222 1.7019186102364816 0.0 0.0 30.0
5.680472222 1.7044607444670328 0.0 0.0 20.0
5.688972222 1.7070028411847755 0.0 0.0 50.0
5.697472222 1.7095449003337602 0.0 0.0 30.0
5.705972222 1.7120869218580408 0.0 0.0 60.0
5.714472222 1.7146289057016706 0.0 0.0 50.0
5.722972222 1.7171708518087034 0.0 0.0 30.0
5.731472222 1.7197127601231958 0.0 0.0 20.0
5.739972222 1.7222546305892028 0.0 0.0 40.0
5.748472222 1.7247964631507824 0.0 0.0 10.0
5.756972222 1.7273382577519913 0.0 0.0 20.0
5.765472222 1.729880014336889 0.0 0.0 40.0
5.773972222 1.7324217328495346 0.0 0.0 60.0
5.782472222 1.7349634132339884 0.0 0.0 60.0
5.790972222 1.7375050554343117 0.0 0.0 30.0
5.799472222 1.7400466593945663 0.0 0.0 20.0
5.807972222 1.742588225058815 0.0 0.0 70.0
5.816472222 1.7451297523711216 0.0 0.0 50.0
5.824972222 1.7476712412755508 0.0 0.0 60.0
5.833472222 1.7502126917161678 0.0 0.0 80.0
5.841972222 1.7527541036370387 0.0 0.0 50.0
5.850472222 1.7552954769822304 0.0 0.0 60.0
5.858972222 1.757836811695812 0.0 0.0 80.0
5.867472222 1.7603781077218505 0.0 0.0 20.0
5.875972222 1.7629193650044166 0.0 0.0 20.0
5.884472222 1.765460583487581 0.0 0.0 60.0
5.892972222 1.7680017631154137 0.0 0.0 30.0
5.901472222 1.770542903831988 0.0 0.0 70.0
5.909972222 1.7730840055813764 0.0 0.0 20.0
5.918472222 1.7756250683076535 0.0 0.0 30.0
5.926972222 1.7781660919548932 0.0 0.0 60.0
5.935472222 1.7807070764671713 0.0 0.0 40.0
5.943972222 1.7832480217885651 0.0 0.0 40.0
5.952472222 1.785788927863151 0.0 0.0 50.0
5.960972222 1.788329794635007 0.0 0.0 30.0
5.969472222 1.7908706220482131 0.0 0.0 20.0
5.977972222 1.7934114100468486 0.0 0.0 20.0
5.986472222 1.795952158574994 0.0 0.0 60.0
5.994972222 1.7984928675767324 0.0 0.0 60.0
6.003472222 1.801033536996145 0.0 0.0 40.0
6.011972222 1.8035741667773149 0.0 0.0 60.0
6.020472222 1.8061147568643277 0.0 0.0 20.0
6.028972222 1.808655307201267 0.0 0.0 10.0
6.037472222 1.8111958177322203 0.0 0.0 20.0
6.045972222 1.8137362884012733 0.0 0.0 100.0
6.054472222 1.816276719152515 0.0 0.0 90.0
6.062972222 1.8188171099300332 0.0 0.0 90.0
6.071472222 1.821357460677917 0.0 0.0 40.0
6.079972222 1.8238977713402584 0.0 0.0 30.0
6.088472222 1.8264380418611472 0.0 0.0 40.0
6.096972222 1.8289782721846763 0.0 0.0 50.0
6.105472222 1.8315184622549385 0.0 0.0 50.0
6.113972222 1.8340586120160278 0.0 0.0 30.0
6.122472222 1.8365987214120387 0.0 0.0 30.0
6.130972222 1.8391387903870682 0.0 0.0 40.0
6.139472222 1.8416788188852113 0.0 0.0 50.0
6.147972222 1.8442188068505663 0.0 0.0 70.0
6.156472222 1.8467587542272317 0.0 0.0 50.0
6.164972222 1.8492986609593067 0.0 0.0 40.0
6.173472222 1.8518385269908912 0.0 0.0 80.0
6.181972222 1.8543783522660866 0.0 0.0 60.0
6.190472222 1.8569181367289949 0.0 0.0 60.0
6.198972222 1.8594578803237185 0.0 0.0 80.0
6.207472222 1.8619975829943616 0.0 0.0 110.0
6.215972222 1.864537244685029 0.0 0.0 50.0
6.224472222 1.8670768653398258 0.0 0.0 20.0
6.232972222 1.8696164449028587 0.0 0.0 70.0
6.241472222 1.8721559833182353 0.0 0.0 20.0
6.249972222 1.8746954805300642 0.0 0.0 30.0
6.258472222 1.8772349364824534 0.0 0.0 10.0
6.266972222 1.879774351119514 0.0 0.0 60.0
6.275472222 1.8823137243853574 0.0 0.0 70.0
6.283972222 1.884853056224094 0.0 0.0 80.0
6.292472222 1.887392346579838 0.0 0.0 30.0
6.300972222 1.8899315953967022 0.0 0.0 60.0
6.309472222 1.892470802618802 0.0 0.0 100.0
6.317972222 1.895009968190253 0.0 0.0 30.0
6.326472222 1.8975490920551712 0.0 0.0 50.0
6.334972222 1.9000881741576743 0.0 0.0 70.0
6.343472222 1.9026272144418808 0.0 0.0 40.0
6.351972222 1.9051662128519093 0.0 0.0 30.0
6.360472222 1.9077051693318805 0.0 0.0 30.0
6.368972222 1.9102440838259158 0.0 0.0 80.0
6.377472222 1.9127829562781364 0.0 0.0 10.0
6.385972222 1.9153217866326662 0.0 0.0 70.0
6.394472222 1.9178605748336282 0.0 0.0 10.0
6.402972222 1.9203993208251473 0.0 0.0 70.0
6.411472222 1.9229380245513503 0.0 0.0 50.0
6.419972222 1.9254766859563626 0.0 0.0 30.0
6.428472222 1.9280153049843123 0.0 0.0 50.0
6.436972222 1.9305538815793273 0.0 0.0 30.0
6.445472222 1.9330924156855387 0.0 0.0 80.0
6.453972222 1.9356309072470754 0.0 0.0 60.0
6.462472222 1.938169356208069 0.0 0.0 80.0
6.470972222 1.9407077625126523 0.0 0.0 30.0
6.479472222 1.943246126104958 0.0 0.0 40.0
6.487972222 1.9457844469291203 0.0 0.0 20.0
6.496472222 1.9483227249292747 0.0 0.0 60.0
6.504972222 1.950860960049557 0.0 0.0 60.0
6.513472222 1.9533991522341037 0.0 0.0 30.0
6.521972222 1.9559373014270531 0.0 0.0 70.0
6.530472222 1.9584754075725443 0.0 0.0 70.0
6.538972222 1.9610134706147173 0.0 0.0 70.0
6.547472222 1.9635514904977118 0.0 0.0 40.0
6.555972222 1.9660894671656708 0.0 0.0 50.0
6.564472222 1.9686274005627362 0.0 0.0 90.0
6.572972222 1.9711652906330515 0.0 0.0 50.0
6.581472222 1.9737031373207619 0.0 0.0 10.0
6.589972222 1.976240940570012 0.0 0.0 50.0
6.598472222 1.9787787003249495 0.0 0.0 80.0
6.606972222 1.9813164165297208 0.0 0.0 30.0
6.615472222 1.983854089128475 0.0 0.0 40.0
6.623972222 1.9863917180653612 0.0 0.0 40.0
6.632472222 1.9889293032845294 0.0 0.0 70.0
6.640972222 1.9914668447301314 0.0 0.0 70.0
6.649472222 1.9940043423463185 0.0 0.0 30.0
6.657972222 1.9965417960772454 0.0 0.0 10.0
6.666472222 1.9990792058670652 0.0 0.0 70.0
